order_id,customer_id,store,order_date,category,quantity,unit_price,channel,on_time,revenue,complaint
20001,CUST0012,Elmsford,2026-05-25,Household,2,9.86,pickup,True,19.72,False
20002,CUST0175,Brookhaven,2026-05-25,Household,1,7.73,pickup,True,7.73,False
20003,CUST0187,Cedar Falls,2026-05-25,Pantry,4,4.75,pickup,True,19.0,False
20004,CUST0067,Northgate,2026-05-25,Bakery,1,2.85,delivery,False,2.85,True
20005,CUST0083,Brookhaven,2026-05-25,Pantry,6,5.35,pickup,True,32.1,False
20006,CUST0016,Cedar Falls,2026-05-25,Beverages,2,5.93,delivery,True,11.86,False
20007,CUST0302,Elmsford,2026-05-25,Produce,7,2.11,pickup,True,14.77,False
20008,CUST0239,Northgate,2026-05-25,Household,3,6.35,delivery,True,19.05,False
20009,CUST0315,Northgate,2026-05-25,Beverages,4,2.6,pickup,True,10.4,False
20010,CUST0040,Elmsford,2026-05-25,Dairy,5,3.21,pickup,True,16.05,False
20011,CUST0326,Northgate,2026-05-26,Dairy,3,4.0,delivery,True,12.0,False
20012,CUST0235,Northgate,2026-05-26,Frozen,1,5.42,pickup,True,5.42,False
20013,CUST0007,Elmsford,2026-05-26,Pantry,6,3.72,delivery,True,22.32,False
20014,CUST0258,Northgate,2026-05-26,Household,1,9.13,pickup,True,9.13,False
20015,CUST0015,Brookhaven,2026-05-26,Household,2,7.11,pickup,True,14.22,False
20016,CUST0080,Elmsford,2026-05-26,Produce,2,2.77,delivery,True,5.54,False
20017,CUST0249,Cedar Falls,2026-05-26,Produce,5,3.31,delivery,True,16.55,False
20018,CUST0238,Northgate,2026-05-26,Pantry,4,3.6,delivery,True,14.4,False
20019,CUST0136,Cedar Falls,2026-05-26,Frozen,2,5.7,delivery,True,11.4,False
20020,CUST0136,Cedar Falls,2026-05-26,Frozen,4,6.45,delivery,True,25.8,False
20021,CUST0203,Cedar Falls,2026-05-27,Frozen,3,5.06,delivery,True,15.18,False
20022,CUST0068,Cedar Falls,2026-05-27,Bakery,1,3.6,pickup,True,3.6,False
20023,CUST0128,Brookhaven,2026-05-27,Bakery,2,2.73,pickup,True,5.46,False
20024,CUST0306,Brookhaven,2026-05-27,Beverages,3,4.04,pickup,True,12.12,False
20025,CUST0033,Cedar Falls,2026-05-27,Dairy,5,2.97,delivery,True,14.85,False
20026,CUST0288,Elmsford,2026-05-27,Frozen,4,4.41,pickup,True,17.64,False
20027,CUST0195,Cedar Falls,2026-05-27,Bakery,1,5.03,pickup,True,5.03,False
20028,CUST0259,Northgate,2026-05-27,Meat,3,11.14,pickup,True,33.42,False
20029,CUST0226,Northgate,2026-05-27,Frozen,2,5.72,pickup,True,11.44,False
20030,CUST0219,Cedar Falls,2026-05-27,Dairy,2,4.53,pickup,True,9.06,False
20031,CUST0030,Elmsford,2026-05-27,Pantry,3,4.43,pickup,True,13.29,False
20032,CUST0115,Elmsford,2026-05-27,Beverages,5,3.25,pickup,True,16.25,False
20033,CUST0271,Northgate,2026-05-27,Frozen,4,4.44,delivery,True,17.76,True
20034,CUST0055,Cedar Falls,2026-05-27,Frozen,2,5.89,pickup,True,11.78,False
20035,CUST0103,Elmsford,2026-05-27,Beverages,6,3.66,pickup,True,21.96,False
20036,CUST0061,Elmsford,2026-05-28,Produce,3,2.54,pickup,True,7.62,False
20037,CUST0149,Northgate,2026-05-28,Frozen,4,6.18,pickup,True,24.72,False
20038,CUST0235,Brookhaven,2026-05-28,Bakery,1,4.37,pickup,True,4.37,False
20039,CUST0327,Northgate,2026-05-28,Produce,8,1.87,pickup,True,14.96,False
20040,CUST0314,Elmsford,2026-05-28,Household,3,4.87,delivery,True,14.61,False
20041,CUST0327,Northgate,2026-05-28,Household,2,10.07,pickup,True,20.14,False
20042,CUST0244,Elmsford,2026-05-28,Meat,2,10.29,delivery,True,20.58,False
20043,CUST0051,Cedar Falls,2026-05-28,Meat,1,10.67,pickup,True,10.67,False
20044,CUST0100,Brookhaven,2026-05-28,Frozen,4,4.8,pickup,True,19.2,False
20045,CUST0055,Northgate,2026-05-29,Produce,7,2.28,pickup,True,15.96,False
20046,CUST0095,Elmsford,2026-05-29,Pantry,5,4.48,delivery,True,22.4,False
20047,CUST0013,Elmsford,2026-05-29,Meat,2,12.9,pickup,True,25.8,False
20048,CUST0209,Elmsford,2026-05-29,Household,1,7.13,delivery,True,7.13,True
20049,CUST0105,Brookhaven,2026-05-29,Pantry,5,4.74,pickup,True,23.7,False
20050,CUST0246,Cedar Falls,2026-05-29,Dairy,2,3.5,delivery,False,7.0,False
20051,CUST0258,Northgate,2026-05-29,Frozen,2,5.14,pickup,True,10.28,False
20052,CUST0110,Cedar Falls,2026-05-29,Meat,1,11.56,pickup,True,11.56,False
20053,CUST0168,Elmsford,2026-05-29,Frozen,1,5.1,pickup,True,5.1,False
20054,CUST0183,Elmsford,2026-05-29,Meat,1,11.33,pickup,True,11.33,False
20055,CUST0298,Elmsford,2026-05-29,Household,3,7.31,delivery,True,21.93,False
20056,CUST0033,Cedar Falls,2026-05-29,Frozen,2,6.25,delivery,True,12.5,False
20057,CUST0036,Cedar Falls,2026-05-30,Produce,5,3.1,pickup,True,15.5,False
20058,CUST0200,Northgate,2026-05-30,Pantry,5,3.61,pickup,True,18.05,False
20059,CUST0204,Cedar Falls,2026-05-30,Beverages,3,3.56,pickup,True,10.68,False
20060,CUST0195,Northgate,2026-05-30,Beverages,5,3.69,pickup,True,18.45,False
20061,CUST0242,Cedar Falls,2026-05-30,Dairy,3,4.56,pickup,True,13.68,True
20062,CUST0044,Brookhaven,2026-05-30,Frozen,1,5.08,pickup,True,5.08,False
20063,CUST0017,Brookhaven,2026-05-30,Meat,1,8.82,pickup,True,8.82,False
20064,CUST0032,Brookhaven,2026-05-30,Beverages,2,3.36,pickup,True,6.72,False
20065,CUST0055,Northgate,2026-05-30,Household,2,10.76,pickup,True,21.52,False
20066,CUST0111,Elmsford,2026-05-30,Household,3,7.34,delivery,False,22.02,True
20067,CUST0234,Elmsford,2026-05-30,Dairy,3,3.44,pickup,True,10.32,False
20068,CUST0080,Elmsford,2026-05-30,Household,1,10.52,pickup,True,10.52,False
20069,CUST0013,Cedar Falls,2026-05-30,Bakery,1,4.16,pickup,True,4.16,False
20070,CUST0147,Cedar Falls,2026-05-30,Dairy,5,3.06,delivery,True,15.3,True
20071,CUST0054,Northgate,2026-05-30,Household,2,8.47,pickup,True,16.94,False
20072,CUST0333,Cedar Falls,2026-05-31,Dairy,4,3.64,pickup,True,14.56,False
20073,CUST0119,Elmsford,2026-05-31,Produce,8,3.2,pickup,True,25.6,False
20074,CUST0200,Northgate,2026-05-31,Household,2,6.0,pickup,True,12.0,True
20075,CUST0059,Northgate,2026-05-31,Household,3,6.03,delivery,True,18.09,False
20076,CUST0339,Brookhaven,2026-05-31,Frozen,2,4.27,pickup,False,8.54,False
20077,CUST0135,Brookhaven,2026-05-31,Frozen,4,5.15,pickup,True,20.6,False
20078,CUST0162,Northgate,2026-05-31,Dairy,2,3.78,pickup,True,7.56,False
20079,CUST0199,Elmsford,2026-05-31,Frozen,3,6.19,delivery,True,18.57,True
20080,CUST0109,Elmsford,2026-05-31,Meat,3,6.78,pickup,True,20.34,False
20081,CUST0045,Northgate,2026-05-31,Household,3,7.04,pickup,True,21.12,False
20082,CUST0145,Northgate,2026-05-31,Household,2,7.13,pickup,True,14.26,False
20083,CUST0059,Northgate,2026-05-31,Dairy,4,3.99,pickup,False,15.96,False
20084,CUST0075,Elmsford,2026-05-31,Dairy,5,3.36,pickup,True,16.8,False
20085,CUST0002,Cedar Falls,2026-06-01,Frozen,1,6.43,pickup,True,6.43,False
20086,CUST0032,Elmsford,2026-06-01,Meat,1,11.82,pickup,True,11.82,False
20087,CUST0004,Elmsford,2026-06-01,Meat,1,11.03,delivery,True,11.03,False
20088,CUST0114,Northgate,2026-06-01,Frozen,1,4.06,pickup,True,4.06,False
20089,CUST0044,Elmsford,2026-06-01,Bakery,1,4.85,delivery,True,4.85,False
20090,CUST0278,Cedar Falls,2026-06-01,Meat,3,9.81,pickup,True,29.43,False
20091,CUST0204,Elmsford,2026-06-01,Pantry,6,3.98,pickup,True,23.88,False
20092,CUST0306,Cedar Falls,2026-06-01,Bakery,1,4.18,pickup,True,4.18,False
20093,CUST0163,Northgate,2026-06-01,Pantry,2,4.72,delivery,True,9.44,False
20094,CUST0089,Brookhaven,2026-06-01,Household,3,6.81,pickup,True,20.43,False
20095,CUST0159,Cedar Falls,2026-06-01,Beverages,2,4.85,pickup,True,9.7,False
20096,CUST0307,Brookhaven,2026-06-01,Household,1,7.7,pickup,True,7.7,False
20097,CUST0018,Cedar Falls,2026-06-01,Frozen,4,6.7,pickup,True,26.8,False
20098,CUST0157,Cedar Falls,2026-06-01,Household,3,5.93,pickup,True,17.79,False
20099,CUST0258,Northgate,2026-06-02,Beverages,4,2.91,delivery,True,11.64,False
20100,CUST0073,Elmsford,2026-06-02,Bakery,2,5.15,delivery,True,10.3,False
20101,CUST0233,Elmsford,2026-06-02,Bakery,1,4.17,pickup,True,4.17,False
20102,CUST0182,Cedar Falls,2026-06-02,Household,1,6.43,pickup,True,6.43,False
20103,CUST0330,Brookhaven,2026-06-02,Household,2,8.26,pickup,True,16.52,False
20104,CUST0104,Elmsford,2026-06-02,Beverages,5,5.43,delivery,True,27.15,False
20105,CUST0024,Brookhaven,2026-06-02,Bakery,3,4.79,pickup,True,14.37,False
20106,CUST0092,Cedar Falls,2026-06-02,Frozen,3,3.54,pickup,True,10.62,False
20107,CUST0187,Cedar Falls,2026-06-03,Household,1,7.23,pickup,True,7.23,False
20108,CUST0055,Northgate,2026-06-03,Household,1,6.91,delivery,True,6.91,False
20109,CUST0151,Elmsford,2026-06-03,Produce,4,2.3,delivery,True,9.2,False
20110,CUST0167,Elmsford,2026-06-03,Pantry,6,6.63,pickup,True,39.78,False
20111,CUST0141,Elmsford,2026-06-03,Beverages,4,3.94,delivery,True,15.76,False
20112,CUST0339,Elmsford,2026-06-03,Bakery,1,3.62,pickup,False,3.62,False
20113,CUST0078,Elmsford,2026-06-03,Household,1,5.28,pickup,True,5.28,False
20114,CUST0285,Elmsford,2026-06-03,Meat,3,6.76,pickup,True,20.28,False
20115,CUST0154,Cedar Falls,2026-06-03,Household,3,7.55,delivery,True,22.65,False
20116,CUST0270,Elmsford,2026-06-03,Meat,3,9.41,pickup,False,28.23,True
20117,CUST0149,Northgate,2026-06-03,Household,3,5.77,pickup,True,17.31,False
20118,CUST0301,Northgate,2026-06-03,Pantry,3,3.17,pickup,True,9.51,False
20119,CUST0113,Brookhaven,2026-06-03,Beverages,5,3.28,pickup,True,16.4,False
20120,CUST0012,Brookhaven,2026-06-03,Produce,8,1.87,pickup,True,14.96,False
20121,CUST0196,Cedar Falls,2026-06-03,Beverages,2,5.58,pickup,True,11.16,False
20122,CUST0322,Northgate,2026-06-03,Household,1,5.48,delivery,True,5.48,False
20123,CUST0049,Cedar Falls,2026-06-03,Frozen,4,5.53,delivery,True,22.12,False
20124,CUST0306,Northgate,2026-06-03,Household,1,3.35,pickup,True,3.35,False
20125,CUST0196,Cedar Falls,2026-06-04,Pantry,5,4.92,pickup,True,24.6,False
20126,CUST0165,Cedar Falls,2026-06-04,Produce,7,4.31,delivery,True,30.17,False
20127,CUST0275,Cedar Falls,2026-06-04,Produce,7,2.67,delivery,True,18.69,False
20128,CUST0117,Elmsford,2026-06-04,Pantry,4,4.44,pickup,True,17.76,False
20129,CUST0132,Elmsford,2026-06-04,Beverages,5,4.22,pickup,True,21.1,False
20130,CUST0104,Northgate,2026-06-04,Pantry,1,6.11,delivery,True,6.11,False
20131,CUST0159,Cedar Falls,2026-06-04,Frozen,2,5.08,pickup,True,10.16,False
20132,CUST0121,Brookhaven,2026-06-04,Frozen,2,3.79,pickup,True,7.58,False
20133,CUST0285,Northgate,2026-06-04,Produce,4,3.87,pickup,True,15.48,False
20134,CUST0107,Elmsford,2026-06-04,Bakery,3,5.24,delivery,True,15.72,False
20135,CUST0029,Elmsford,2026-06-04,Frozen,4,5.85,delivery,True,23.4,False
20136,CUST0173,Elmsford,2026-06-04,Frozen,1,4.32,delivery,True,4.32,False
20137,CUST0280,Brookhaven,2026-06-05,Dairy,1,3.19,pickup,True,3.19,False
20138,CUST0038,Brookhaven,2026-06-05,Household,2,5.37,pickup,True,10.74,False
20139,CUST0115,Elmsford,2026-06-05,Dairy,5,2.69,pickup,True,13.45,False
20140,CUST0105,Elmsford,2026-06-05,Beverages,6,3.56,delivery,False,21.36,False
20141,CUST0139,Elmsford,2026-06-05,Household,3,6.93,pickup,True,20.79,False
20142,CUST0331,Northgate,2026-06-05,Frozen,3,5.3,delivery,True,15.9,False
20143,CUST0257,Cedar Falls,2026-06-05,Meat,1,9.15,pickup,False,9.15,True
20144,CUST0325,Cedar Falls,2026-06-05,Beverages,2,2.33,pickup,True,4.66,False
20145,CUST0068,Elmsford,2026-06-05,Bakery,1,4.05,delivery,True,4.05,False
20146,CUST0016,Northgate,2026-06-05,Household,1,10.35,delivery,True,10.35,False
20147,CUST0212,Northgate,2026-06-05,Pantry,1,6.07,delivery,True,6.07,False
20148,CUST0022,Elmsford,2026-06-05,Household,3,5.98,pickup,True,17.94,False
20149,CUST0260,Brookhaven,2026-06-06,Beverages,3,5.13,pickup,True,15.39,False
20150,CUST0008,Brookhaven,2026-06-06,Frozen,4,5.42,pickup,True,21.68,False
20151,CUST0339,Cedar Falls,2026-06-06,Frozen,3,6.02,pickup,True,18.06,False
20152,CUST0133,Cedar Falls,2026-06-06,Produce,4,2.53,pickup,True,10.12,False
20153,CUST0105,Elmsford,2026-06-06,Beverages,6,5.73,pickup,True,34.38,False
20154,CUST0130,Northgate,2026-06-06,Dairy,3,4.0,delivery,True,12.0,False
20155,CUST0054,Brookhaven,2026-06-06,Produce,8,2.42,pickup,True,19.36,False
20156,CUST0117,Northgate,2026-06-06,Beverages,5,3.85,delivery,True,19.25,False
20157,CUST0026,Northgate,2026-06-06,Household,3,6.12,pickup,True,18.36,False
20158,CUST0037,Cedar Falls,2026-06-06,Bakery,2,5.05,delivery,True,10.1,False
20159,CUST0257,Cedar Falls,2026-06-06,Produce,4,3.75,pickup,True,15.0,False
20160,CUST0216,Elmsford,2026-06-06,Dairy,5,3.55,pickup,True,17.75,False
20161,CUST0245,Northgate,2026-06-06,Frozen,2,7.41,pickup,True,14.82,False
20162,CUST0224,Cedar Falls,2026-06-06,Bakery,3,4.15,delivery,True,12.45,False
20163,CUST0165,Cedar Falls,2026-06-06,Frozen,3,5.98,pickup,True,17.94,False
20164,CUST0034,Elmsford,2026-06-06,Household,2,7.66,pickup,True,15.32,False
20165,CUST0050,Elmsford,2026-06-06,Bakery,3,2.9,delivery,True,8.7,False
20166,CUST0114,Cedar Falls,2026-06-06,Household,1,5.43,pickup,False,5.43,False
20167,CUST0156,Elmsford,2026-06-07,Bakery,1,3.59,pickup,True,3.59,False
20168,CUST0286,Elmsford,2026-06-07,Produce,8,2.51,pickup,True,20.08,False
20169,CUST0262,Brookhaven,2026-06-07,Household,2,7.93,pickup,True,15.86,False
20170,CUST0108,Northgate,2026-06-07,Bakery,2,3.94,delivery,True,7.88,False
20171,CUST0085,Cedar Falls,2026-06-07,Bakery,2,4.44,delivery,True,8.88,False
20172,CUST0263,Elmsford,2026-06-07,Beverages,2,4.46,pickup,True,8.92,True
20173,CUST0286,Elmsford,2026-06-07,Produce,8,1.52,delivery,True,12.16,False
20174,CUST0257,Elmsford,2026-06-07,Dairy,4,3.04,delivery,True,12.16,False
20175,CUST0187,Elmsford,2026-06-07,Pantry,3,5.25,delivery,True,15.75,False
20176,CUST0150,Cedar Falls,2026-06-07,Frozen,4,4.89,pickup,True,19.56,False
20177,CUST0080,Brookhaven,2026-06-07,Dairy,3,3.0,pickup,True,9.0,False
20178,CUST0038,Brookhaven,2026-06-07,Beverages,5,3.01,pickup,True,15.05,False
20179,CUST0128,Northgate,2026-06-07,Frozen,3,7.01,pickup,True,21.03,False
20180,CUST0120,Elmsford,2026-06-07,Frozen,1,4.48,delivery,True,4.48,False
20181,CUST0295,Brookhaven,2026-06-07,Meat,2,7.71,pickup,True,15.42,False
20182,CUST0127,Elmsford,2026-06-07,Household,2,5.91,pickup,True,11.82,False
20183,CUST0323,Elmsford,2026-06-08,Household,2,6.47,pickup,True,12.94,False
20184,CUST0006,Northgate,2026-06-08,Produce,6,2.86,pickup,True,17.16,False
20185,CUST0163,Cedar Falls,2026-06-08,Dairy,4,4.45,pickup,True,17.8,False
20186,CUST0085,Elmsford,2026-06-08,Dairy,1,3.27,pickup,True,3.27,False
20187,CUST0263,Brookhaven,2026-06-08,Pantry,6,4.7,pickup,True,28.2,False
